Guobiao Radical Index,Radical,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
145.3,,,,,,書,晝,畫,,,,,,,,,,,,,,,,
146,艮,艮,,,垦,恳,,,,,,,艱,,,,,,,,,,,
147,羽,,,,,,,,,,,,,,,,,,,,,,,
148,糸,,,,,,,,,,,,,,,,,,,,,,,
148.1,纟,,,,,,,,,,,,,,,,,,,,,,,
148.2,糹,,,,,,,,,,,,,,,,,,,,,,,
149,麦,麦,,,,麸,,,,麹,,,,,,,,,,,,,,
149.1,麥,麥,,,,麩麪,,,,,,,,,,,,,,,,,,
150,走,,,,,,,,,,,,,,,,,,,,,,,
151,赤,,,,,,,,,,,,,,,,,,,,,,,
152,豆,,,,,,,,,,,,,,,,,,,,,,,
153,酉,,,,,,,,,,,,,,,,,,,,,,,
154,辰,,,,,,,,,,,,,,,,,,,,,,,
155,豕,,,,,,,,,,,,,,,,,,,,,,,
156,卤,卤,,,,,,,,,鹾,,,,,,,,,,,,,
156.1,鹵,鹵,,,,,,,,,鹹鹺,鹻,,,鹼,,,,,,,,,
157,里,,,,,,,,,,,,,,,,,,,,,,,
158,足,,,,,,,,,,,,,,,,,,,,,,,
158.1,⻊,,,,,,,,,,,,,,,,,,,,,,,
159,邑,邑,,,,,,,,,,,,,,,,,,,,,,
159.1,⻏,,,,,,,,,,,,,,,,,,,,,,,
160,身,,,,,,,,,,,,,,,,,,,,,,,
161,釆,,,,,,,,,,,,,,,,,,,,,,,
162,谷,,,,,,,,,,,,,,,,,,,,,,,
163,豸,,,,,,,,,,,,,,,,,,,,,,,
164,龟,龟,,,,,,,,,,,,,,,,,,,,,,
164.1,龜,龜,,,,,,,,,,,,,,,,,,,,,,
165,角,,,,,,,,,,,,,,,,,,,,,,,
166,言,,,,,,,,,,,,,,,,,,,,,,,
166.1,讠,,,,,,,,,,,,,,,,,,,,,,,
167,辛,,,,,,,,,,,,,,,,,,,,,,,
168,青,青,,,,靓,䴖,静,靚,靛,,,鶄,,,,,,,,,,,
169,龺,,乹,,乾,韩戟朝,幹,榦斡,,翰,韓,,,,,,,,,,,,,
170,雨⻗,,,,,,,,,,,,,,,,,,,,,,,
171,非,,,,,,,,,,,,,,,,,,,,,,,
172,齿,,,,,,,,,,,,,,,,,,,,,,,
172.1,齒,,,,,,,,,,,,,,,,,,,,,,,
173,黾,黾,,𫑡,,鼋,,,,,,,,鼍,,,,,,,,,,
173.1,黽,黽,,鄳,,黿,,鼃,,,,鼇,鼈,鼉,,,,,,,,,,
174,隹,,,,,,,,,,,,,,,,,,,,,,,
175,阜,阜,,,,,,,,,,,,,,,,,,,,,,
175.1,阝,,,,,,,,,,,,,,,,,,,,,,,
176,金,,,,,,,,,,,,,,,,,,,,,,,
176.1,钅,,,,,,,,,,,,,,,,,,,,,,,
177,鱼,,,,,,,,,,,,,,,,,,,,,,,
177.1,魚,,,,,,,,,,,,,,,,,,,,,,,
178,隶,,,,,,,,,,,,,,,,,,,,,,,
179,革,,,,,,,,,,,,,,,,,,,,,,,
180,面,面,,勔,,䩄,,,靦,,,,,,,,,,,,,,,
181,韭,韭,,,,,,,,,,,,,,,,,,,,,,
182,骨,,,,,,,,,,,,,,,,,,,,,,,
183,香,香,,,,,馝,,馞,,馧馥,,馨,,,,,,,,,,,
184,鬼,,,,,,,,,,,,,,,,,,,,,,,
185,食,,,,,,,,,,,,,,,,,,,,,,,
185.1,饣,,,,,,,,,,,,,,,,,,,,,,,
185.2,飠,,,,,,,,,,,,,,,,,,,,,,,
186,音,,,,,,,,,,,,,,,,,,,,,,,
187,首,首,,馗,,,,,,馘,,,,,,,,,,,,,,
188,髟,,,,,,,,,,,,,,,,,,,,,,,
189,鬲,,,,,,,,,,,,,,,,,,,,,,,
190,鬥,鬥,,,,鬦,鬧,鬨,,鬩,,鬪,,,,鬭,,,鬮,,,,,
191,高,,,,,,,,,,,,,,,,,,,,,,,
192,黄,,,,,,,,,,,,,,,,,,,,,,,
193,麻,,,,,,,,,,,,,,,,,,,,,,,
194,鹿,,,,,,,,,,,,,,,,,,,,,,,
195,鼎,鼎,,鼐,鼒,,,,,,,,,,,,,,,,,,,
196,黑,,,,,,,,,,,,,,,,,,,,,,,
197,黍,黍,,,,,黏,,,,,,,,,,,,,,,,,
198,鼓,鼓,,,,,瞽鼕,鼗,,鼙,,,,鼟,,,,,,,,,,
199,鼠,鼠,,,,鼢,鼫鼥鼬鼩鼧,,鼯,鼱,鼴,鼹鼷,,,,,,,,,,,,
200,鼻,鼻,,劓鼽,鼾,䶊,齁,,,,,齆,齇,,,,,,,,,,,齉
201,龠,龠,,,,,龢,,,,,,,,,,,,,,,,,
